# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GFF" "-t" "gene" "-g" "ID" "-T" "16" "-a" "reference.gff3" "-o" "counts_SRR10379725.txt" "SRR10379725.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379725.bam
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	21600
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	11209
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	12966
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	15484
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	23295
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	13732
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	14225
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	14355
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	6821
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	10914
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	7684
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	5620
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	14880
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	8243
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	10914
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	17675
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	15454
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	914
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	782
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	33399
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	1794
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	322
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	337
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	109
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	195
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	109
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	1864
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	5403
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	437
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	2604
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	68508
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	7475
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	3570
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	521
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	679
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	330
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	677
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	7606
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	868
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	3090
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	9
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	12962
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	16944
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	8014
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	9303
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	3776
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	276
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	5832
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	4837
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	3156
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	5045
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	779
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	349
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	179
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	514
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	1222
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	433
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	1488
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	2426
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	415
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	353
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	528
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	296
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	563
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	584
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	609
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	985
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	1434
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	607
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	1433
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	859
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	174942
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	70633
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	487
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	2188
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	4520
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	3033
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	198
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	173
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	1837
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	5416
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	5282
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	14216
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	38374
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	1263
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	1708
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	670
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	788
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	11262
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	44
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	251460
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	14
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	1279
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	608
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	0
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	418
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	25
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	23
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	212
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	298
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	13
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	539
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	3842
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	3520
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	686
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	6530
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	2662
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	3364
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	9415
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	20283
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	32510
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	3852
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	7434
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	1014
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	2343
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	4958
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	1018
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	284
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	366
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	340
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	13
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	3652
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	1726
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	1871
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	2270
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	44
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	411
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	422
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	1596
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	901
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	1671
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	337
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	345
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	292
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	695
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	66
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	207
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	1224
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	3006
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	1196
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	123
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	18
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	157
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	879
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	156
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	75
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	140
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	70
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	4247
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	5186
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	1019
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	622
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	272
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	78
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	348
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	341
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	298
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	199
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	774
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	1084
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	5262
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	13612
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	439
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	5
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	10191
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	10377
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	5
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	6163
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	1100
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	1286
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	1227
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	1301
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	1203
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	1788
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	4128
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	1261
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	885
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	60417
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	2210
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	1915
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	75
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	584
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	237
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	421
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	551
gene-SAOUHSC_00308	CP000253.1	322121	323143	+	1023	757
gene-SAOUHSC_00309	CP000253.1	323458	324483	+	1026	9003
gene-SAOUHSC_00310	CP000253.1	324576	325922	-	1347	1771
gene-SAOUHSC_00311	CP000253.1	325937	326221	-	285	316
gene-SAOUHSC_00312	CP000253.1	326223	326666	-	444	431
gene-SAOUHSC_00313	CP000253.1	326671	328626	-	1956	2614
gene-SAOUHSC_00314	CP000253.1	328838	329257	+	420	5008
gene-SAOUHSC_00315	CP000253.1	329364	330719	+	1356	606
gene-SAOUHSC_00316	CP000253.1	330823	331263	+	441	430
gene-SAOUHSC_00317	CP000253.1	331346	332704	-	1359	9119
gene-SAOUHSC_00318	CP000253.1	333012	333938	+	927	2538
gene-SAOUHSC_00319	CP000253.1	333952	335013	+	1062	4377
gene-SAOUHSC_00320	CP000253.1	335027	335593	+	567	2029
gene-SAOUHSC_00322	CP000253.1	335653	336648	-	996	852
gene-SAOUHSC_00323	CP000253.1	336647	337054	+	408	73
gene-SAOUHSC_00324	CP000253.1	337067	337612	+	546	7538
gene-SAOUHSC_00325	CP000253.1	337880	338734	+	855	588
gene-SAOUHSC_00326	CP000253.1	338731	339960	+	1230	738
gene-SAOUHSC_00327	CP000253.1	339971	341653	+	1683	888
gene-SAOUHSC_00328	CP000253.1	341746	342402	-	657	5766
gene-SAOUHSC_00329	CP000253.1	342464	342688	-	225	3499
gene-SAOUHSC_00330	CP000253.1	342788	343177	-	390	5122
gene-SAOUHSC_00331	CP000253.1	343418	343621	+	204	158
gene-SAOUHSC_00332	CP000253.1	343618	344331	+	714	734
gene-SAOUHSC_00333	CP000253.1	344356	345198	+	843	1382
gene-SAOUHSC_00334	CP000253.1	345198	345827	+	630	2637
gene-SAOUHSC_00335	CP000253.1	346194	347327	-	1134	2603
gene-SAOUHSC_A00332	CP000253.1	347735	347893	-	159	961
gene-SAOUHSC_00336	CP000253.1	347866	349047	+	1182	9367
gene-SAOUHSC_00337	CP000253.1	349130	349882	-	753	3306
gene-SAOUHSC_00338	CP000253.1	349925	352153	-	2229	8401
gene-SAOUHSC_00339	CP000253.1	352150	353991	-	1842	5839
gene-SAOUHSC_00340	CP000253.1	353960	355120	-	1161	3500
gene-SAOUHSC_00341	CP000253.1	355117	356220	-	1104	4323
gene-SAOUHSC_00342	CP000253.1	356884	357729	+	846	1567
gene-SAOUHSC_00344	CP000253.1	357886	358767	+	882	2345
gene-SAOUHSC_00345	CP000253.1	358797	359000	+	204	1181
gene-SAOUHSC_00346	CP000253.1	359012	360109	+	1098	6763
gene-SAOUHSC_00347	CP000253.1	360195	360386	-	192	942
gene-SAOUHSC_00348	CP000253.1	360630	360926	+	297	30656
gene-SAOUHSC_00349	CP000253.1	360947	361450	+	504	47724
gene-SAOUHSC_00350	CP000253.1	361502	361744	+	243	23078
gene-SAOUHSC_00351	CP000253.1	362010	362948	-	939	734
gene-SAOUHSC_00352	CP000253.1	362987	363298	-	312	313
gene-SAOUHSC_00353	CP000253.1	363376	363534	-	159	251
gene-SAOUHSC_00354	CP000253.1	363894	364505	+	612	1791
gene-SAOUHSC_00355	CP000253.1	364874	365242	+	369	325
gene-SAOUHSC_00356	CP000253.1	365423	365995	+	573	72577
gene-SAOUHSC_00357	CP000253.1	366133	366396	-	264	6431
gene-SAOUHSC_00358	CP000253.1	366696	366947	+	252	124504
gene-SAOUHSC_A00354	CP000253.1	366986	367195	-	210	40
gene-SAOUHSC_00359	CP000253.1	367373	367954	+	582	890
gene-SAOUHSC_00360	CP000253.1	368020	368403	-	384	1512
gene-SAOUHSC_00362	CP000253.1	368658	369284	-	627	2754
gene-SAOUHSC_00363	CP000253.1	369357	369650	-	294	488
gene-SAOUHSC_00364	CP000253.1	369729	371252	-	1524	55872
gene-SAOUHSC_00365	CP000253.1	371268	371837	-	570	29131
gene-SAOUHSC_00366	CP000253.1	372329	373084	+	756	5125
gene-SAOUHSC_00367	CP000253.1	373165	374553	-	1389	1849
gene-SAOUHSC_00368	CP000253.1	374638	374739	+	102	158
gene-SAOUHSC_00369	CP000253.1	375530	376486	-	957	11229
gene-SAOUHSC_00370	CP000253.1	376604	377266	-	663	14593
gene-SAOUHSC_00371	CP000253.1	377409	377816	-	408	22046
gene-SAOUHSC_00372	CP000253.1	378329	378907	+	579	2157
gene-SAOUHSC_00373	CP000253.1	378907	380175	+	1269	6135
gene-SAOUHSC_00374	CP000253.1	380213	381679	+	1467	28215
gene-SAOUHSC_00375	CP000253.1	381704	383245	+	1542	34529
gene-SAOUHSC_00376	CP000253.1	383358	383894	-	537	544
gene-SAOUHSC_00377	CP000253.1	384287	384991	-	705	193
gene-SAOUHSC_00378	CP000253.1	385390	385662	-	273	26
gene-SAOUHSC_00380	CP000253.1	385933	386193	+	261	283
gene-SAOUHSC_00381	CP000253.1	386599	386958	-	360	396
gene-SAOUHSC_00382	CP000253.1	386977	387822	-	846	822
gene-SAOUHSC_00383	CP000253.1	388294	388974	+	681	1238
gene-SAOUHSC_00384	CP000253.1	389260	389955	+	696	382
gene-SAOUHSC_00386	CP000253.1	390246	391316	+	1071	311
gene-SAOUHSC_00387	CP000253.1	391435	391572	+	138	6
gene-SAOUHSC_00389	CP000253.1	391681	392607	+	927	245
gene-SAOUHSC_00390	CP000253.1	392971	393675	+	705	75
gene-SAOUHSC_A00379	CP000253.1	393579	393878	-	300	5
gene-SAOUHSC_00391	CP000253.1	394121	394816	+	696	223
gene-SAOUHSC_00392	CP000253.1	395237	395932	+	696	504
gene-SAOUHSC_00393	CP000253.1	396276	396974	+	699	173
gene-SAOUHSC_00394	CP000253.1	397354	398052	+	699	204
gene-SAOUHSC_00395	CP000253.1	398418	399101	+	684	501
gene-SAOUHSC_00396	CP000253.1	399186	399287	-	102	28
gene-SAOUHSC_00397	CP000253.1	399449	400921	+	1473	2058
gene-SAOUHSC_00398	CP000253.1	400914	402125	+	1212	833
gene-SAOUHSC_00399	CP000253.1	402508	403185	+	678	217
gene-SAOUHSC_00400	CP000253.1	403207	404715	+	1509	1080
gene-SAOUHSC_00401	CP000253.1	404819	405127	-	309	3340
gene-SAOUHSC_00402	CP000253.1	405465	406283	+	819	310
gene-SAOUHSC_00404	CP000253.1	406302	407087	+	786	326
gene-SAOUHSC_00405	CP000253.1	407345	408082	+	738	1409
gene-SAOUHSC_00406	CP000253.1	408072	409400	+	1329	2060
gene-SAOUHSC_00407	CP000253.1	409397	409720	+	324	941
gene-SAOUHSC_00408	CP000253.1	409739	410053	+	315	850
gene-SAOUHSC_00409	CP000253.1	410343	410603	-	261	472
gene-SAOUHSC_00410	CP000253.1	410722	411924	+	1203	734
gene-SAOUHSC_00411	CP000253.1	412193	412321	+	129	20
gene-SAOUHSC_00412	CP000253.1	413512	414996	+	1485	10187
gene-SAOUHSC_00413	CP000253.1	415009	417714	+	2706	38599
gene-SAOUHSC_00414	CP000253.1	417876	418238	+	363	8912
gene-SAOUHSC_00415	CP000253.1	418467	418883	-	417	460
gene-SAOUHSC_00416	CP000253.1	418921	419595	+	675	2643
gene-SAOUHSC_00417	CP000253.1	419632	420366	+	735	3878
gene-SAOUHSC_00418	CP000253.1	420544	420657	+	114	45
gene-SAOUHSC_00420	CP000253.1	420822	422159	+	1338	16729
gene-SAOUHSC_00421	CP000253.1	422376	423290	+	915	194
gene-SAOUHSC_00422	CP000253.1	423274	424416	+	1143	408
gene-SAOUHSC_00423	CP000253.1	424710	425735	+	1026	1667
gene-SAOUHSC_00424	CP000253.1	425739	426398	+	660	572
gene-SAOUHSC_00426	CP000253.1	426435	427277	+	843	2452
